hospital_name,payer_name,code,code_type,description,negotiated_rate,cash_price,setting,gross_charge,charge_min,charge_max,effective_price,source_file,is_outlier,payer_group,payer_canonical
Providence Regional Medical Center Everett,DISCOUNTED_CASH,49505,CPT,Open inguinal hernia repair,,1918.28,both,3689.0,,,1918.28,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Self-Pay / Cash,Self-Pay / Cash - Other
Providence Regional Medical Center Everett,Aetna - Non-Gatekeeper Medicare Managed Care - PPO,163,DRG,Major chest procedures with MCC,41006.25,,inpatient,,11746.71,234051.1,41006.25,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Aetna,Aetna - Medicare Advantage
Providence Regional Medical Center Everett,Amerigroup - Medicaid Managed Care Plan,163,DRG,Major chest procedures with MCC,69029.39,,inpatient,,11746.71,234051.1,69029.39,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Amerigroup,Amerigroup - Medicaid
Providence Regional Medical Center Everett,Blue Cross - Premera Medicare Managed Care Plan,163,DRG,Major chest procedures with MCC,40976.39,,inpatient,,11746.71,234051.1,40976.39,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Medicare Advantage
Providence Regional Medical Center Everett,Blue Shield - Regence All Commercial Plans,163,DRG,Major chest procedures with MCC,122153.27,,inpatient,,11746.71,234051.1,122153.27,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Regence BlueShield,Regence BlueShield - Commercial
Providence Regional Medical Center Everett,Blue Shield - Uniform Exchange,163,DRG,Major chest procedures with MCC,84194.35,,inpatient,,11746.71,234051.1,84194.35,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Blue Shield,Blue Shield - Exchange
Providence Regional Medical Center Everett,Cigna - All Commercial Plans,163,DRG,Major chest procedures with MCC,234051.1,,inpatient,,11746.71,234051.1,234051.1,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Cigna,Cigna - Commercial
Providence Regional Medical Center Everett,Coordinated Care - Medicaid Managed Care Plan,163,DRG,Major chest procedures with MCC,34411.42,,inpatient,,11746.71,234051.1,34411.42,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Coordinated Care,Coordinated Care - Medicaid
Providence Regional Medical Center Everett,Humana - Medicare Managed Care Plan,163,DRG,Major chest procedures with MCC,41731.18,,inpatient,,11746.71,234051.1,41731.18,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Humana,Humana - Medicare Advantage
Providence Regional Medical Center Everett,Kaiser - All Commercial Plans,163,DRG,Major chest procedures with MCC,92805.98,,inpatient,,11746.71,234051.1,92805.98,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Kaiser Permanente,Kaiser Permanente - Commercial
Providence Regional Medical Center Everett,Kaiser - Medicare Managed Care Plan,163,DRG,Major chest procedures with MCC,25525.44,,inpatient,,11746.71,234051.1,25525.44,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Kaiser Permanente,Kaiser Permanente - Medicare Advantage
Providence Regional Medical Center Everett,Molina - Medicaid Managed Care Plan,163,DRG,Major chest procedures with MCC,11746.71,,inpatient,,11746.71,234051.1,11746.71,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Molina Healthcare,Molina Healthcare - Medicaid
Providence Regional Medical Center Everett,UnitedHealthCare - All Commercial Plans,163,DRG,Major chest procedures with MCC,113224.96,,inpatient,,11746.71,234051.1,113224.96,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Commercial
Providence Regional Medical Center Everett,UnitedHealthCare - Medicaid Managed Care Plan,163,DRG,Major chest procedures with MCC,15394.2,,inpatient,,11746.71,234051.1,15394.2,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Medicaid
Providence Regional Medical Center Everett,UnitedHealthCare - Medicare Managed Care Plan,163,DRG,Major chest procedures with MCC,40564.32,,inpatient,,11746.71,234051.1,40564.32,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Medicare Advantage
Providence Regional Medical Center Everett,Amerigroup - Medicaid Managed Care Plan,216,DRG,Cardiac valve and other major cardiothoracic procedures,84937.56,,inpatient,,81290.96,227531.82,84937.56,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Amerigroup,Amerigroup - Medicaid
Providence Regional Medical Center Everett,Blue Cross - Premera All Commercial Plans,216,DRG,Cardiac valve and other major cardiothoracic procedures,227531.82,,inpatient,,81290.96,227531.82,227531.82,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Commercial
Providence Regional Medical Center Everett,Blue Shield - Regence Medicare Managed Care - PPO,216,DRG,Cardiac valve and other major cardiothoracic procedures,86821.21,,inpatient,,81290.96,227531.82,86821.21,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Regence BlueShield,Regence BlueShield - Medicare Advantage
Providence Regional Medical Center Everett,Blue Shield - Uniform Exchange,216,DRG,Cardiac valve and other major cardiothoracic procedures,198257.41,,inpatient,,81290.96,227531.82,198257.41,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Blue Shield,Blue Shield - Exchange
Providence Regional Medical Center Everett,Community Health Plan of Washington - Medicare Managed Care Plan,216,DRG,Cardiac valve and other major cardiothoracic procedures,86773.5,,inpatient,,81290.96,227531.82,86773.5,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Community Health Plan of WA,Community Health Plan of WA - Medicare Advantage
Providence Regional Medical Center Everett,UnitedHealthCare - Medicaid Managed Care Plan,216,DRG,Cardiac valve and other major cardiothoracic procedures,81290.96,,inpatient,,81290.96,227531.82,81290.96,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Medicaid
Providence Regional Medical Center Everett,UnitedHealthCare - Medicare Managed Care Plan,216,DRG,Cardiac valve and other major cardiothoracic procedures,87724.18,,inpatient,,81290.96,227531.82,87724.18,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Medicare Advantage
Providence Regional Medical Center Everett,Aetna - Non-Gatekeeper Medicare Managed Care - PPO,233,DRG,Coronary bypass with cardiac cath,43486.79,,inpatient,,43486.79,259903.56,43486.79,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Aetna,Aetna - Medicare Advantage
Providence Regional Medical Center Everett,Blue Cross - Premera All Commercial Plans,233,DRG,Coronary bypass with cardiac cath,180084.25,,inpatient,,43486.79,259903.56,180084.25,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Commercial
Providence Regional Medical Center Everett,Blue Cross - Premera Medicare Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,60403.1,,inpatient,,43486.79,259903.56,60403.1,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Medicare Advantage
Providence Regional Medical Center Everett,Blue Shield - Regence All Commercial Plans,233,DRG,Coronary bypass with cardiac cath,259903.56,,inpatient,,43486.79,259903.56,259903.56,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Regence BlueShield,Regence BlueShield - Commercial
Providence Regional Medical Center Everett,Blue Shield - Regence Medicare Managed Care - PPO,233,DRG,Coronary bypass with cardiac cath,71275.8,,inpatient,,43486.79,259903.56,71275.8,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Regence BlueShield,Regence BlueShield - Medicare Advantage
Providence Regional Medical Center Everett,Community Health Plan of Washington - Medicaid Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,54962.07,,inpatient,,43486.79,259903.56,54962.07,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Community Health Plan of WA,Community Health Plan of WA - Medicaid
Providence Regional Medical Center Everett,Coordinated Care - Medicaid Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,44174.97,,inpatient,,43486.79,259903.56,44174.97,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Coordinated Care,Coordinated Care - Medicaid
Providence Regional Medical Center Everett,Humana - Medicare Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,68495.34,,inpatient,,43486.79,259903.56,68495.34,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Humana,Humana - Medicare Advantage
Providence Regional Medical Center Everett,Kaiser - All Commercial Plans,233,DRG,Coronary bypass with cardiac cath,88397.11,,inpatient,,43486.79,259903.56,88397.11,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Kaiser Permanente,Kaiser Permanente - Commercial
Providence Regional Medical Center Everett,Kaiser - Medicare Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,67100.14,,inpatient,,43486.79,259903.56,67100.14,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Kaiser Permanente,Kaiser Permanente - Medicare Advantage
Providence Regional Medical Center Everett,UnitedHealthCare - Medicare Managed Care Plan,233,DRG,Coronary bypass with cardiac cath,60546.71,,inpatient,,43486.79,259903.56,60546.71,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,UnitedHealthcare,UnitedHealthcare - Medicare Advantage
Providence Regional Medical Center Everett,Aetna - Non-Gatekeeper Medicare Managed Care - PPO,242,DRG,Permanent cardiac pacemaker implant with MCC,29523.28,,inpatient,,16460.95,81127.07,29523.28,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Aetna,Aetna - Medicare Advantage
Providence Regional Medical Center Everett,Blue Cross - Premera All Commercial Plans,242,DRG,Permanent cardiac pacemaker implant with MCC,81127.07,,inpatient,,16460.95,81127.07,81127.07,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Commercial
Providence Regional Medical Center Everett,Blue Cross - Premera Medicare Managed Care Plan,242,DRG,Permanent cardiac pacemaker implant with MCC,24115.04,,inpatient,,16460.95,81127.07,24115.04,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Premera Blue Cross,Premera Blue Cross - Medicare Advantage
Providence Regional Medical Center Everett,Blue Shield - Regence Medicare Managed Care - PPO,242,DRG,Permanent cardiac pacemaker implant with MCC,26272.6,,inpatient,,16460.95,81127.07,26272.6,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Regence BlueShield,Regence BlueShield - Medicare Advantage
Providence Regional Medical Center Everett,Humana - Medicare Managed Care Plan,242,DRG,Permanent cardiac pacemaker implant with MCC,30395.23,,inpatient,,16460.95,81127.07,30395.23,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Humana,Humana - Medicare Advantage
Providence Regional Medical Center Everett,Kaiser - Medicare Managed Care Plan,242,DRG,Permanent cardiac pacemaker implant with MCC,29047.02,,inpatient,,16460.95,81127.07,29047.02,/Users/ryancorley/Documents/git/surgery-cost-benchmarking/data/raw/providence_everett_standardcharges.json,False,Kaiser Permanente,Kaiser Permanente - Medicare Advantage
